H,R,T
gene-02513,treat,hpo-12857
gene-02515,enhance,gene-00410
gene-02515,improve,hpo-12857
gene-02515,potenti,hpo-03925
gene-02515,reduce,disease-2201
gene-02515,reduce,hpo-03925
gene-02518,activate,gene-05958
gene-02518,associate,gene-09974
gene-02518,associate,hpo-03925
gene-02518,cause,gene-02524
gene-02518,cause,gene-05962
gene-02518,cause,hpo-03528
gene-02518,change,hpo-13312
gene-02518,marker,gene-09974
gene-02518,marker,gene-11125
gene-02518,reduce,gene-08332
gene-02518,reduce,protein-05566
gene-02518,regulate,hpo-10098
gene-02518,response,hpo-10098
gene-02518,treat,hpo-03925
gene-02525,change,hpo-03925
gene-02525,change,hpo-04141
gene-02525,change,hpo-12946
gene-02525,reduce,hpo-03925
gene-02530,increase,gene-05836
gene-02536,associate,disease-0285
gene-02537,associate,disease-0285
gene-02537,bind,gene-03229
gene-02537,confer,gene-03229
gene-02537,found,gene-03229
gene-02537,protect,gene-03229
gene-02557,expression,hpo-03925
gene-02565,affect,hpo-03632
gene-02565,affect,hpo-03925
gene-02565,associate,hpo-03925
gene-02565,cause,hpo-03528
gene-02565,cause,hpo-03630
gene-02565,cause,hpo-03925
gene-02565,cause,hpo-04141
gene-02565,cause,hpo-09061
gene-02565,change,hpo-03528
gene-02565,change,hpo-03549
gene-02565,change,hpo-03726
gene-02565,consist,gene-01399
gene-02565,consist,gene-02520
gene-02565,consist,gene-13882
gene-02565,consist,gene-19936
gene-02565,focus,small_molecule-02847
gene-02565,regulate,gene-02145
gene-02565,show,hpo-12942
gene-02566,affect,hpo-03925
gene-02566,associate,gene-24136
gene-02566,associate,hpo-12952
gene-02566,cause,hpo-04141
gene-02566,enhance,gene-03468
gene-02566,enhance,gene-03472
gene-02566,expression,gene-05683
gene-02566,expression,hpo-03630
gene-02566,improve,hpo-12857
gene-02566,increase,gene-24136
gene-02566,increase,small_molecule-11583
gene-02566,inhibit,gene-05663
gene-02566,inhibit,hpo-02571
gene-02566,inhibit,protein-05566
gene-02566,initi,hpo-03925
gene-02566,initi,hpo-13631
gene-02566,interact,gene-00153
gene-02566,prevent,gene-05683
gene-02566,production,drug-10882
gene-02566,production,gene-02917
gene-02566,production,gene-11842
gene-02566,reduce,gene-02704
gene-02566,reduce,gene-05663
gene-02566,reduce,gene-24136
gene-02566,reduce,hpo-02571
gene-02566,regulate,hpo-03925
gene-02566,risk,hpo-03925
gene-02567,associate,gene-08376
gene-02567,cause,hpo-03528
gene-02567,cause,small_molecule-11291
gene-02567,feature,gene-06255
gene-02567,marker,hpo-12407
gene-02576,regulate,hpo-03751
gene-02579,affect,hpo-03925
gene-02579,associate,hpo-03925
gene-02579,associate,small_molecule-21434
gene-02579,cause,gene-02580
gene-02579,cause,gene-05736
gene-02579,cause,hpo-04152
gene-02579,cause,hpo-12857
gene-02579,detect,hpo-03925
gene-02579,determin,hpo-10098
gene-02579,develop,hpo-13303
gene-02579,enhance,gene-05958
gene-02579,expression,gene-00175
gene-02579,expression,gene-04177
gene-02579,expression,gene-04314
gene-02579,expression,gene-07745
gene-02579,expression,gene-16942
gene-02579,expression,small_molecule-11291
gene-02579,improve,hpo-12857
gene-02579,improve,small_molecule-11291
gene-02579,increase,small_molecule-03249
gene-02579,inhibit,hpo-13631
gene-02579,patholog,hpo-06796
gene-02579,prevent,gene-11347
gene-02579,prevent,hpo-12834
gene-02579,prevent,hpo-13647
gene-02579,protect,hpo-03528
gene-02579,protect,hpo-06791
gene-02579,regulate,gene-00175
gene-02579,regulate,gene-02455
gene-02579,regulate,hpo-12857
gene-02579,show,hpo-13631
gene-02579,treat,hpo-13528
gene-02579,treat,small_molecule-17713
gene-02580,regulate,gene-02579
gene-02581,cause,hpo-03634
gene-02581,cause,hpo-13319
gene-02581,depend,gene-05410
gene-02581,gene,hpo-03925
gene-02581,increase,gene-03849
gene-02581,inhibit,gene-02115
gene-02581,inhibit,gene-03761
gene-02581,interact,gene-02115
gene-02581,interact,gene-03761
gene-02581,marker,hpo-03528
gene-02581,prevent,hpo-03925
gene-02581,regulate,hpo-12857
gene-02585,detect,hpo-12781
gene-02585,marker,hpo-12781
gene-02585,use,hpo-12781
gene-02590,regulate,gene-07573
gene-02592,expression,small_molecule-25323
gene-02606,affect,hpo-03549
gene-02606,associate,hpo-03925
gene-02606,associate,hpo-04141
gene-02606,associate,small_molecule-11291
gene-02606,increase,hpo-03549
gene-02606,increase,hpo-03925
gene-02606,reduce,gene-04960
gene-02606,risk,hpo-12817
gene-02615,marker,gene-24107
gene-02650,cause,disease-6665
gene-02650,change,hpo-12857
gene-02650,increase,hpo-12857
gene-02650,mutate,gene-03042
gene-02650,regulate,hpo-13303
gene-02661,develop,hpo-13129
gene-02667,activate,small_molecule-19902
gene-02667,associate,small_molecule-19902
gene-02667,bind,gene-04174
gene-02667,bind,gene-04659
gene-02667,cause,disease-2125
gene-02667,cause,gene-00554
gene-02667,cause,hpo-08419
gene-02667,cause,hpo-12637
gene-02667,cause,small_molecule-19902
gene-02667,cause,small_molecule-27940
gene-02667,mutate,disease-2125
gene-02672,associate,hpo-03897
gene-02672,bind,gene-05787
gene-02672,bind,protein-07597
gene-02672,cause,hpo-03528
gene-02672,interact,protein-07597
gene-02675,associate,hpo-03925
gene-02675,associate,small_molecule-11291
gene-02677,cause,hpo-03634
gene-02677,cause,hpo-03925
gene-02677,regulate,hpo-03925
gene-02688,activate,gene-04428
gene-02688,associate,hpo-12857
gene-02688,expression,gene-08939
gene-02688,expression,hpo-03925
gene-02688,improve,hpo-03528
gene-02688,improve,hpo-03925
gene-02688,increase,hpo-10098
gene-02688,inhibit,hpo-04141
gene-02688,inhibit,hpo-13303
gene-02688,inhibit,small_molecule-17713
gene-02688,marker,hpo-13303
gene-02688,protect,small_molecule-17713
gene-02688,reduce,drug-13490
gene-02688,reduce,gene-07403
gene-02688,reduce,hpo-03925
gene-02688,reduce,hpo-10098
gene-02688,reduce,hpo-12857
gene-02688,reduce,small_molecule-02847
gene-02688,regulate,gene-03010
gene-02688,regulate,gene-03816
gene-02688,regulate,gene-05399
gene-02688,regulate,gene-05958
gene-02688,regulate,gene-11125
gene-02688,show,hpo-12857
gene-02689,marker,gene-05736
gene-02689,marker,gene-24100
gene-02693,cause,gene-03770
gene-02693,enhance,gene-06016
gene-02697,activate,gene-02500
gene-02697,change,hpo-03925
gene-02697,expression,hpo-03925
gene-02697,protect,hpo-03925
gene-02697,protect,hpo-12817
gene-02697,regulate,gene-00166
gene-02697,regulate,hpo-03549
gene-02697,response,hpo-03634
gene-02697,show,hpo-03925
gene-02698,cause,hpo-03925
gene-02701,analyz,hpo-04141
gene-02704,abolish,gene-02566
gene-02704,expression,hpo-03630
gene-02704,increase,small_molecule-02847
gene-02704,reduce,hpo-02571
gene-02706,expression,hpo-03925
gene-02713,associate,hpo-02571
gene-02713,associate,small_molecule-02847
gene-02713,cause,hpo-03925
gene-02713,found,small_molecule-02847
gene-02713,identifi,small_molecule-02847
gene-02713,inhibit,gene-04725
gene-02718,activate,gene-09521
gene-02721,detect,hpo-03506
gene-02733,cause,hpo-03925
gene-02733,increase,hpo-03528
gene-02743,protect,gene-05996
gene-02743,protect,hpo-06796
gene-02743,use,hpo-08875
gene-02746,expression,hpo-03925
gene-02746,increase,hpo-03925
gene-02750,affect,disease-0159
gene-02750,bind,gene-02980
gene-02750,cause,gene-05708
gene-02750,cause,hpo-13631
gene-02750,inhibit,gene-02980
gene-02750,reduce,gene-05683
gene-02750,regulate,gene-02980
gene-02756,associate,hpo-03987
gene-02756,associate,hpo-04567
gene-02756,associate,hpo-12874
gene-02756,associate,hpo-13542
gene-02756,interact,protein-19339
gene-02756,reduce,gene-09018
gene-02757,regulate,small_molecule-09029
gene-02770,cause,hpo-02571
gene-02770,develop,hpo-03528
gene-02770,maintain,hpo-03528
gene-02770,production,small_molecule-22625
gene-02777,cause,hpo-03244
gene-02777,feature,hpo-13319
gene-02777,feature,small_molecule-04834
gene-02777,feature,small_molecule-54377
gene-02787,activate,gene-00175
gene-02787,activate,gene-04174
gene-02787,increase,hpo-03925
gene-02787,phosphorylation,gene-00175
gene-02787,regulate,hpo-03528
gene-02787,treat,gene-00298
gene-02804,activate,gene-05397
gene-02804,affect,gene-05708
gene-02804,affect,hpo-00269
gene-02804,associate,drug-13528
gene-02804,associate,gene-05029
gene-02804,associate,hpo-03925
gene-02804,cause,gene-03815
gene-02804,cause,hpo-12834
gene-02804,increase,hpo-12857
gene-02804,increase,hpo-13474
gene-02804,phosphorylation,gene-05399
gene-02804,regulate,gene-04360
gene-02804,reverse,gene-01772
gene-02804,treat,gene-05708
gene-02816,act,gene-02817
gene-02816,act,hpo-09081
gene-02816,affect,hpo-03925
gene-02816,associate,hpo-03528
gene-02816,associate,hpo-03925
gene-02816,associate,hpo-13303
gene-02816,cause,gene-07818
gene-02816,cause,hpo-03925
gene-02816,cause,hpo-06683
gene-02816,cause,hpo-12654
gene-02816,cause,hpo-12658
gene-02816,cause,hpo-13074
gene-02816,cause,hpo-13303
gene-02816,enhance,hpo-13006
gene-02816,expression,gene-05958
gene-02816,improve,hpo-06796
gene-02816,improve,hpo-13128
gene-02816,increase,gene-00175
gene-02816,increase,small_molecule-35204
gene-02816,phosphorylation,gene-02817
gene-02816,phosphorylation,gene-02948
gene-02816,produce,drug-09951
gene-02816,production,hpo-13006
gene-02816,reduce,hpo-03632
gene-02816,regulate,gene-24115
gene-02816,regulate,hpo-03528
gene-02816,regulate,hpo-03925
gene-02816,response,hpo-13303
gene-02816,show,hpo-13528
gene-02816,signal,hpo-03726
gene-02816,treat,hpo-03925
gene-02817,associate,hpo-06376
gene-02817,expression,gene-02816
gene-02817,expression,hpo-06376
gene-02817,inhibit,hpo-03634
gene-02817,inhibit,hpo-03925
gene-02817,prevent,hpo-03925
gene-02819,patholog,small_molecule-11291
gene-02819,regulate,gene-03768
gene-02820,encode,protein-05603
gene-02820,expression,gene-05980
gene-02820,mutate,gene-02816
gene-02827,marker,hpo-06796
gene-02827,predict,hpo-06796
gene-02827,serve,hpo-07332
gene-02828,regulate,gene-01215
gene-02828,regulate,hpo-13474
gene-02873,activate,hpo-03925
gene-02873,provid,disease-1223
gene-02875,affect,hpo-10098
gene-02875,associate,hpo-03925
gene-02875,cause,gene-05708
gene-02875,cause,hpo-00016
gene-02875,cause,hpo-03528
gene-02875,control,hpo-13006
gene-02875,expression,gene-03476
gene-02875,expression,gene-05708
gene-02875,expression,hpo-03925
gene-02875,increase,hpo-05246
gene-02875,increase,hpo-12857
gene-02875,increase,hpo-13474
gene-02875,increase,small_molecule-01245
gene-02875,marker,hpo-13631
gene-02875,observe,hpo-13647
gene-02875,transloc,gene-04725
gene-02878,marker,small_molecule-35427
gene-02878,protect,hpo-04112
gene-02879,cause,gene-05708
gene-02879,control,hpo-13631
gene-02885,associate,hpo-03925
gene-02885,associate,hpo-13303
gene-02885,protect,hpo-03632
gene-02885,reduce,hpo-03646
gene-02886,regulate,hpo-03925
gene-02889,activate,gene-00533
gene-02889,activate,gene-01757
gene-02889,activate,gene-04423
gene-02889,activate,gene-05397
gene-02889,activate,gene-05399
gene-02889,activate,hpo-03925
gene-02889,affect,gene-00647
gene-02889,affect,hpo-04112
gene-02889,affect,hpo-10098
gene-02889,associate,gene-00218
gene-02889,associate,gene-17314
gene-02889,associate,hpo-03925
gene-02889,associate,hpo-12857
gene-02889,associate,small_molecule-11291
gene-02889,cause,gene-02804
gene-02889,cause,gene-02875
gene-02889,cause,gene-05399
gene-02889,cause,hpo-03244
gene-02889,cause,hpo-03528
gene-02889,cause,hpo-03634
gene-02889,cause,small_molecule-00413
gene-02889,expression,gene-00410
gene-02889,expression,gene-03304
gene-02889,expression,gene-05397
gene-02889,expression,hpo-00016
gene-02889,expression,hpo-12857
gene-02889,expression,hpo-13303
gene-02889,feature,hpo-03925
gene-02889,feature,small_molecule-11291
gene-02889,increase,gene-03841
gene-02889,increase,hpo-03925
gene-02889,increase,hpo-12857
gene-02889,increase,hpo-12986
gene-02889,increase,small_molecule-11291
gene-02889,inhibit,gene-00645
gene-02889,inhibit,gene-05996
gene-02889,inhibit,gene-06883
gene-02889,marker,hpo-03925
gene-02889,patholog,hpo-03528
gene-02889,phosphorylation,hpo-03528
gene-02889,reduce,hpo-12407
gene-02889,regulate,gene-00410
gene-02889,regulate,hpo-03925
gene-02889,regulate,hpo-11324
gene-02889,regulate,protein-06928
gene-02889,response,disease-0159
gene-02889,show,hpo-03925
gene-02889,stimul,gene-05682
gene-02889,treat,hpo-03925
gene-02890,expression,hpo-03925
gene-02891,activate,gene-05399
gene-02891,cause,hpo-03925
gene-02891,signal,hpo-12857
gene-02895,develop,small_molecule-11291
gene-02898,affect,gene-00762
gene-02898,affect,gene-01810
gene-02898,affect,gene-05301
gene-02898,affect,hpo-12817
gene-02898,associate,gene-07171
gene-02898,associate,hpo-13528
gene-02898,mutate,hpo-07103
gene-02901,associate,hpo-03634
gene-02901,associate,hpo-12857
gene-02901,cause,hpo-12942
gene-02901,enhance,gene-02513
gene-02901,increase,gene-04976
gene-02901,increase,hpo-12857
gene-02901,inhibit,gene-02513
gene-02901,marker,hpo-03925
gene-02901,predict,hpo-03925
gene-02901,reduce,hpo-13354
gene-02901,stimul,gene-05682
gene-02901,treat,hpo-03925
gene-02904,predict,hpo-04556
gene-02906,regulate,gene-02306
gene-02910,change,hpo-12857
gene-02910,demonstr,hpo-12857
gene-02917,affect,hpo-12857
gene-02917,affect,small_molecule-35204
gene-02917,cause,small_molecule-36530
gene-02917,change,hpo-12857
gene-02917,detect,hpo-03897
gene-02917,detect,small_molecule-36530
gene-02917,expression,gene-02370
gene-02917,expression,gene-02889
gene-02917,expression,gene-05044
gene-02917,expression,gene-05708
gene-02917,increase,hpo-03925
gene-02918,activate,gene-04178
gene-02918,activate,gene-19568
gene-02918,affect,gene-04178
gene-02918,affect,hpo-03528
gene-02918,affect,hpo-03925
gene-02918,associate,gene-01138
gene-02918,associate,hpo-13631
gene-02918,cause,drug-13490
gene-02918,cause,gene-03472
gene-02918,cause,gene-05850
gene-02918,cause,hpo-00016
gene-02918,demonstr,gene-06864
gene-02918,expression,gene-01882
gene-02918,feature,gene-04978
gene-02918,increase,gene-04906
gene-02918,increase,hpo-03925
gene-02918,inhibit,gene-05661
gene-02918,inhibit,gene-05663
gene-02918,patholog,hpo-12857
gene-02918,patholog,small_molecule-34508
gene-02918,phosphorylation,gene-00175
gene-02918,predict,hpo-03858
gene-02918,predict,hpo-04112
gene-02918,reduce,gene-08441
gene-02918,reduce,hpo-03549
gene-02918,regulate,gene-05683
gene-02918,risk,hpo-12858
gene-02918,show,hpo-12857
gene-02918,stimul,gene-00789
gene-02918,stimul,gene-01882
gene-02918,stimul,gene-02115
gene-02918,stimul,gene-02176
gene-02918,stimul,gene-03770
gene-02918,stimul,gene-04725
gene-02921,develop,hpo-03925
gene-02922,activate,gene-04645
gene-02922,activate,gene-06213
gene-02922,activate,protein-17620
gene-02922,affect,gene-05327
gene-02922,associate,gene-04903
gene-02922,associate,hpo-03925
gene-02922,associate,hpo-12857
gene-02922,associate,hpo-13128
gene-02922,bind,protein-05831
gene-02922,cause,hpo-03632
gene-02922,cause,hpo-03925
gene-02922,cause,hpo-12857
gene-02922,change,hpo-12857
gene-02922,depend,gene-04645
gene-02922,exist,small_molecule-17713
gene-02922,expression,gene-03816
gene-02922,expression,hpo-03632
gene-02922,expression,hpo-12857
gene-02922,function,hpo-12857
gene-02922,increase,hpo-03528
gene-02922,maintain,hpo-13128
gene-02922,marker,hpo-03632
gene-02922,marker,hpo-03925
gene-02922,protect,hpo-03632
gene-02922,provid,hpo-03632
gene-02922,reduce,gene-00175
gene-02922,reduce,hpo-12857
gene-02922,regulate,gene-05327
gene-02922,regulate,hpo-03632
gene-02922,regulate,hpo-12857
gene-02922,stimul,small_molecule-17713
gene-02922,treat,hpo-03925
gene-02929,cause,hpo-13631
gene-02929,reduce,hpo-13631
gene-02937,bind,protein-05831
gene-02948,expression,gene-02816
gene-02948,expression,gene-02817
gene-02958,consist,hpo-09327
gene-02958,consist,hpo-09345
gene-02958,consist,hpo-09611
gene-02958,develop,hpo-09466
gene-02959,activate,drug-04111
gene-02959,activate,protein-05287
gene-02959,affect,gene-02804
gene-02959,associate,drug-04111
gene-02959,associate,hpo-03632
gene-02959,associate,hpo-03925
gene-02959,change,hpo-03634
gene-02959,control,drug-04111
gene-02959,expression,hpo-08875
gene-02959,interact,gene-05033
gene-02959,reduce,hpo-03634
gene-02959,reverse,gene-01772
gene-02959,stimul,gene-02804
gene-02961,activate,gene-04423
gene-02961,expression,hpo-13128
gene-02961,provid,hpo-12855
gene-02961,regulate,hpo-03549
gene-02961,regulate,hpo-12855
gene-02962,regulate,hpo-03634
gene-02962,show,hpo-03634
gene-02963,improve,hpo-12857
gene-02963,reduce,hpo-12857
gene-02963,regulate,hpo-12857
gene-02966,activate,gene-01858
gene-02966,associate,gene-00175
gene-02966,cause,gene-06733
